RNK,PLAYER, TEAM, POS,OWNER,G,GS,IP,H,ER,BB,K,QS,CG,SO,W,L,SV,BS,HD,ERA,OBA,WHIP,K_9,K_BB,TOTAL_2014
1,Clayton Kershaw, LAD,SP,PHBS,-0.31,1.11,1.19,-0.59,-0.04,0.09,2.27,1.85,5.82,2.72,2.59,0.14,-0.24,0.44,-0.48,2.54,3.51,3.15,1.19,4.29,31.24
2,Adam Wainwright, StL,SP,PHBS,0.01,1.71,2.13,-1.33,-0.52,-0.9,1.98,2.63,5.82,5.63,2.89,-0.56,-0.24,0.44,-0.48,3.21,3.32,3.35,-0.06,1.86,30.91
3,Johnny Cueto, Cin,SP,TSS,0.08,1.83,2.26,-1.2,-0.83,-1.46,2.65,3.03,5.82,5.63,2.29,-1.26,-0.24,0.44,-0.48,2.8,3.62,3.64,0.33,1.96,30.9
4,Masahiro Tanaka*, NYY,SP  DL15,TSS,-0.05,1.59,1.94,-1.61,-0.94,-0.33,2.49,2.63,5.82,2.72,2.89,-0.56,-0.24,0.44,-0.48,2.02,2.44,2.41,0.49,3.79,27.46
5,Felix Hernandez, Sea,SP,LBW,0.08,1.83,2.27,-1.47,-0.83,-0.76,2.98,3.03,-0.23,-0.19,2.59,0.14,-0.24,0.44,-0.48,2.82,3.74,3.56,0.55,3.75,23.58
6,Julio Teheran, Atl,SP,HBH,0.08,1.83,2.09,-1.64,-1.21,-1.11,2.01,2.63,3.8,5.63,1.99,-1.26,-0.24,0.44,-0.48,1.77,2.27,2.18,-0.02,1.55,22.33
7,Chris Sale, CWS,SP,QC,-0.31,1.11,1.16,-0.52,-0.2,-0.12,1.65,1.65,3.8,-0.19,1.68,0.49,-0.24,0.44,-0.48,2.13,2.85,3.03,0.57,2.74,21.28
8,David Price, TB ,SP,QC,0.08,1.83,2.35,-2.22,-1.84,-0.47,3.23,2.24,3.8,-0.19,1.99,-1.61,-0.24,0.44,-0.48,0.98,2.19,2.04,0.67,4.76,19.55
9,Henderson Alvarez, Mia,SP,WA (Tue),0.01,1.71,1.73,-2.03,-0.89,-0.54,0.91,1.65,5.82,8.55,1.08,-0.56,-0.24,0.44,-0.48,1.74,0.01,0.25,-0.66,0.69,19.19
10,Scott Kazmir, Oak,SP,TW,0.01,1.71,1.67,-1.08,-0.68,-0.9,1.81,2.24,1.79,-0.19,2.59,-0.21,-0.24,0.44,-0.48,2.07,2.43,2.45,0.17,1.57,17.18
11,Max Scherzer, Det,SP,LBW,0.01,1.71,1.87,-1.66,-1.53,-1.46,2.77,2.05,1.79,2.72,2.59,-0.21,-0.24,0.44,-0.48,0.7,1.02,0.98,0.78,2.15,16.02
12,Kyle Lohse, Mil,SP,FA,0.01,1.71,1.88,-1.71,-1.47,-0.61,1.48,2.05,1.79,2.72,1.99,-0.56,-0.24,0.44,-0.48,0.84,1.82,1.7,-0.29,1.51,14.57
13,Jordan Zimmermann, Wsh,SP,PHBS,0.01,1.71,1.57,-1.75,-1.05,-0.4,1.63,1.85,3.8,2.72,1.08,-0.91,-0.24,0.44,-0.48,1.1,0.55,0.59,0.1,2.15,14.48
14,Rick Porcello, Det,SP,FA,-0.05,1.59,1.71,-1.66,-1.42,-0.97,0.76,1.85,3.8,5.63,2.89,-0.91,-0.24,0.44,-0.48,0.6,0.77,0.86,-0.78,-0.23,14.18
15,Dallas Keuchel, Hou,SP, RP,-0.11,1.47,1.62,-1.57,-1.21,-0.97,1.27,1.65,5.82,2.72,1.99,-0.91,-0.24,0.44,-0.48,0.87,0.45,0.79,-0.27,0.59,13.94
16,Josh Beckett*, LAD,SP  DL15,LBW,-0.11,1.47,1.36,-0.78,-0.41,-1.25,1.48,1.26,1.79,2.72,1.08,-0.91,-0.24,0.44,-0.48,2.05,1.75,1.86,0.16,0.48,13.72
17,Yu Darvish, Tex,SP,TSS,-0.11,1.47,1.62,-1.38,-1.05,-1.74,2.67,1.65,1.79,2.72,1.68,-0.91,-0.24,0.44,-0.48,1.2,0.71,0.59,0.98,1.55,13.17
18,Sonny Gray, Oak,SP,AHIL,0.01,1.71,1.85,-1.5,-1.1,-2.03,1.81,2.63,1.79,2.72,2.29,-0.21,-0.24,0.44,-0.48,1.54,0.95,0.86,0.01,-0.13,12.93
19,Garrett Richards, LAA,SP, RP,0.01,1.71,1.8,-1.08,-0.89,-2.03,2.29,2.44,-0.23,-0.19,2.59,0.14,-0.24,0.44,-0.48,1.88,1.78,1.87,0.45,0.57,12.84
20,Zack Greinke, LAD,SP,ADD,0.01,1.71,1.7,-1.75,-0.94,-0.54,2.29,2.05,-0.23,-0.19,2.59,-0.91,-0.24,0.44,-0.48,1.57,1.01,0.94,0.56,3.02,12.6
21,Corey Kluber, Cle,SP,AHIL,0.08,1.83,1.99,-1.96,-1.37,-1.25,2.67,2.05,1.79,-0.19,1.99,-1.26,-0.24,0.44,-0.48,1.25,0.78,0.77,0.58,2.35,11.82
22,Wade Davis, KC ,SP, RP,1.16,-0.58,-0.08,0.61,0.71,-0.12,0.63,-0.5,-0.23,-0.19,0.78,0.14,-0.24,-1.11,3,1.6,1.65,1.67,1.86,0.93,11.7
23,Jon Lester, Bos,SP,LBW,0.01,1.71,1.93,-1.78,-1.05,-1.04,2.47,2.24,-0.23,-0.19,1.99,-1.61,-0.24,0.44,-0.48,1.79,1.34,1.27,0.48,2.4,11.46
24,Tanner Roark, Wsh,SP, RP,-0.05,1.59,1.58,-1.45,-1.05,-0.76,1.22,1.65,1.79,2.72,1.68,-1.26,-0.24,0.44,-0.48,1.13,1.09,1.2,-0.29,0.85,11.38
25,Hisashi Iwakuma, Sea,SP,HBH,-0.31,1.11,1.2,-1.1,-0.73,0.45,1.09,1.26,-0.23,-0.19,1.68,-0.56,-0.24,0.44,-0.48,1.04,1.97,1.96,-0.08,2.88,11.18
26,Phil Hughes, Min,SP,FA,0.01,1.71,1.76,-2.19,-1.84,0.23,1.81,1.65,1.79,-0.19,2.29,-0.91,-0.24,0.44,-0.48,-0.17,0.84,0.66,0.08,3.76,11.02
27,Jake Arrieta, ChC,SP,LBW,-0.37,0.99,0.79,-0.36,0.07,-0.54,1.22,1.07,-0.23,-0.19,0.78,0.49,-0.24,0.44,-0.48,1.97,1.87,1.64,0.6,1.21,10.72
28,Tyson Ross, SD ,SP, RP,0.08,1.83,1.94,-1.59,-1.21,-2.03,2.27,2.05,1.79,2.72,1.38,-2.66,-0.24,0.44,-0.48,1.49,0.95,0.93,0.3,0.54,10.5
29,Alfredo Simon, Cin,RP, SP,-0.05,1.59,1.65,-1.22,-0.89,-0.97,0.97,2.63,-0.23,-0.19,2.89,-0.21,-0.24,0.44,-0.48,1.6,1.64,1.92,-0.56,0.1,10.4
30,Stephen Strasburg, Wsh,SP,AHIL,0.08,1.83,1.84,-1.98,-1.58,-0.83,2.85,2.24,-0.23,-0.19,1.38,-1.26,-0.24,0.44,-0.48,0.53,0.61,0.54,0.88,3.41,9.85
31,Jason Hammel, Oak,SP,FA,-0.05,1.59,1.58,-1.22,-1.05,-0.83,1.78,1.85,-0.23,-0.19,1.68,-1.26,-0.24,0.44,-0.48,1.13,1.63,1.81,0.22,1.65,9.83
32,Tim Hudson, SF ,SP,FA,-0.05,1.59,1.7,-1.64,-1.05,-0.33,1.04,1.85,1.79,-0.19,1.38,-1.26,-0.24,0.44,-0.48,1.36,1.42,1.51,-0.53,1.27,9.6
33,Jose Fernandez*, Mia,SP  DL60,QC,-0.69,0.38,0.19,0.13,0.23,0.09,0.84,0.68,-0.23,-0.19,0.48,0.14,-0.24,0.44,-0.48,1.03,1.71,1.41,1.31,1.69,8.92
34,Josh Tomlin, Cle,RP, SP,-0.37,0.87,0.76,-0.89,-0.94,0.38,0.81,0.48,1.79,2.72,0.78,-1.26,-0.24,0.44,-0.48,-0.42,1.17,0.77,0.1,2.2,8.67
35,Zach Britton, Bal,SP, RP,1.41,-0.58,0.11,0.27,0.6,0.02,0.02,-0.5,-0.23,-0.19,0.18,0.49,2.67,-1.11,0.95,1.79,1.3,1.48,-0.19,0.08,8.58
36,Jeff Samardzija, Oak,SP,TW,0.01,1.71,1.79,-1.54,-1.05,-1.25,1.93,2.24,1.79,-0.19,0.18,-1.96,-0.24,0.44,-0.48,1.54,0.96,1.24,0.16,1.2,8.49
37,Madison Bumgarner, SF ,SP,ADD,0.08,1.83,1.88,-1.98,-1.63,-1.25,2.32,1.46,1.79,-0.19,2.29,-1.61,-0.24,0.44,-0.48,0.51,0.44,0.31,0.4,1.8,8.15
38,Matt Garza, Mil,SP,FA,0.01,1.71,1.82,-1.57,-1.74,-1.67,1.42,2.05,1.79,2.72,1.08,-1.26,-0.24,0.44,-0.48,0.17,1.33,0.88,-0.29,-0.21,7.98
39,Lance Lynn, StL,SP,FA,0.01,1.71,1.61,-1.54,-1.15,-1.96,1.63,1.65,1.79,2.72,2.29,-1.26,-0.24,0.44,-0.48,0.95,0.05,-0.15,0.06,-0.29,7.84
40,Jered Weaver, LAA,SP,FA,0.08,1.83,1.85,-1.5,-1.58,-1.53,1.5,1.85,1.79,-0.19,2.29,-1.26,-0.24,0.44,-0.48,0.55,1.22,1.3,-0.24,0.1,7.77
41,Tim Lincecum, SF ,SP,TW,0.01,1.71,1.57,-1.29,-1.47,-2.1,1.63,1.65,1.79,2.72,1.99,-0.91,-0.24,0.44,-0.48,0.2,0.41,0.32,0.1,-0.48,7.57
42,John Lackey, Bos,SP,FA,0.01,1.71,1.8,-1.98,-1.79,-0.97,1.83,2.05,1.79,-0.19,2.29,-1.26,-0.24,0.44,-0.48,0.02,0.65,0.26,0.07,1.5,7.51
43,Andrew Cashner*, SD ,SP  DL15,FA,-0.43,0.87,0.74,-0.64,-0.09,-0.54,0.56,1.26,1.79,2.72,-0.12,-1.26,-0.24,0.44,-0.48,1.51,0.86,0.55,-0.22,0.09,7.37
44,Hyun-Jin Ryu, LAD,SP,TSS,-0.05,1.59,1.38,-1.54,-1.15,-0.47,1.42,2.05,-0.23,-0.19,2.29,-0.91,-0.24,0.44,-0.48,0.49,0.73,0.41,0.08,1.68,7.3
45,Neil Ramirez, ChC,SP, RP,0.71,-0.58,-0.4,0.64,0.81,0.38,-0.08,-0.5,-0.23,-0.19,-0.42,0.49,0.34,0.44,1.36,1.12,0.76,0.87,1.23,0.51,7.28
46,Doug Fister, Wsh,SP,AHIL,-0.43,0.87,0.77,-0.78,-0.36,0.45,0.2,1.26,-0.23,-0.19,1.68,0.14,-0.24,0.44,-0.48,0.96,1.19,1.28,-0.73,1.18,6.99
47,Anibal Sanchez, Det,SP,AHIL,-0.18,1.35,1.16,-0.73,-0.73,-0.76,0.84,1.26,-0.23,-0.19,1.08,-0.21,-0.24,0.44,-0.48,0.94,1.81,1.72,-0.31,0.22,6.77
48,Michael Wacha*, StL,SP  DL15,AHIL,-0.24,1.23,1.06,-0.78,-0.52,-0.83,1.17,1.85,-0.23,-0.19,0.78,-0.91,-0.24,0.44,-0.48,1.21,1.04,1.12,0.16,0.65,6.3
49,Martin Perez*, Tex,SP  DL60,FA,-0.69,0.38,0.18,-0.2,-0.36,-0.33,-0.05,0.09,3.8,5.63,0.48,-0.21,-0.24,0.44,-0.48,-0.43,-0.57,-0.23,-0.46,-0.63,6.13
50,Ian Kennedy, SD ,SP,TW,0.08,1.83,1.82,-1.68,-1.58,-1.39,2.44,1.65,-0.23,-0.19,1.38,-2.31,-0.24,0.44,-0.48,0.5,0.82,0.82,0.56,1.76,6.01
